Date,Province,District,Ga.Pa/Na.Pa.,Ward,Protected Area,Confidence,Lat,Lon,YEAR,DOY,T2M_MIN,T2M_MAX,T2M,QV2M,RH2M,PRECTOTCORR,WS10M,WD2M,GWETTOP,GWETROOT
3/6/2023,Madhes,bara,Jitpur Simara,2,Parsa National Park,76,27.2263,84.97902,2023,65,16.26,32.95,23.69,6.04,35.69,0.0,3.64,298.44,0.27,0.38
3/6/2023,Madhes,bara,Jitpur Simara,21,Parsa National Nikunja Intermediate Region,65,27.26361,84.98756,2023,65,16.26,32.95,23.69,6.04,35.69,0.0,3.64,298.44,0.27,0.38
3/6/2023,Madhes,bara,Jitpur Simara,22,Parsa National Nikunja Intermediate Region,57,27.32029,84.99825,2023,65,16.26,32.95,23.69,6.04,35.69,0.0,3.64,298.44,0.27,0.38
3/9/2023,bagmati,Makawanpur,Parsa Wildlife Reserve,99,Parsa National Park,40,27.47795,84.81749,2023,68,15.06,27.46,19.99,5.98,39.69,0.0,2.5,171.88,0.36,0.39
3/10/2023,Madhes,bara,Jitpur Simara,1,Parsa National Park,56,27.17532,85.06676,2023,69,16.51,32.4,23.73,6.35,36.56,0.0,3.09,296.62,0.26,0.37
3/10/2023,Madhes,bara,Jitpur Simara,1,Parsa National Park,53,27.17566,85.05541,2023,69,16.51,32.4,23.73,6.35,36.56,0.0,3.09,296.62,0.26,0.37
3/10/2023,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,44,27.27053,84.95459,2023,69,16.51,32.4,23.73,6.35,36.56,0.0,3.09,296.62,0.26,0.37
3/11/2023,Madhes,bara,Jitpur Simara,1,Parsa National Park,56,27.18053,85.05782,2023,70,18.66,32.34,24.86,6.47,34.19,0.0,2.39,206.5,0.26,0.37
3/11/2023,Madhes,bara,Nijgadh,11,Parsa National Park,72,27.23847,85.08054,2023,70,18.66,32.34,24.86,6.47,34.19,0.0,2.39,206.5,0.26,0.37
3/11/2023,Madhes,bara,Nijgadh,11,Parsa National Park,46,27.23675,85.06516,2023,70,18.66,32.34,24.86,6.47,34.19,0.0,2.39,206.5,0.26,0.37
3/13/2023,Madhes,bara,Jitpur Simara,1,Parsa National Park,76,27.19322,85.04086,2023,72,20.03,33.29,25.41,7.39,38.06,0.08,2.7,214.06,0.26,0.37
3/13/2023,Madhes,bara,Nijgadh,4,Parsa National Park,72,27.22782,85.09203,2023,72,20.03,33.29,25.41,7.39,38.06,0.08,2.7,214.06,0.26,0.37
3/13/2023,Madhes,bara,Nijgadh,4,Parsa National Park,48,27.22643,85.08164,2023,72,20.03,33.29,25.41,7.39,38.06,0.08,2.7,214.06,0.26,0.37
3/30/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,77,27.255,84.83091,2022,89,20.68,35.46,27.87,9.4,40.88,0.43,3.12,128.19,0.34,0.39
3/30/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,56,27.31058,84.83534,2022,89,20.68,35.46,27.87,9.4,40.88,0.43,3.12,128.19,0.34,0.39
4/18/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,20,27.2802,84.78992,2022,108,24.37,39.76,31.76,5.55,19.75,0.0,2.48,154.38,0.23,0.36
4/18/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,47,27.27877,84.80084,2022,108,24.37,39.76,31.76,5.55,19.75,0.0,2.48,154.38,0.23,0.36
3/25/2022,Madhes,Parsa,Parsa Wildlife Resrved Area,99,Parsa National Park,43,27.25444,84.89668,2022,84,20.49,37.49,28.15,7.2,33.5,0.15,5.21,303.75,0.36,0.41
